time,Vvrain,Vvgate,Vn004,-IR1,IM1
0.000000000000000e+00,1.786670e-01,1.455219e+01,1.500000e+01,2.037503e-06,2.204922e+00
1.000000000124165e-09,1.786731e-01,1.455220e+01,1.500000e+01,2.037188e-06,2.204998e+00
1.100000000158266e-09,1.786736e-01,1.455215e+01,1.500000e+01,-1.182057e-05,2.205006e+00
1.110000000118308e-09,1.786733e-01,1.455207e+01,1.350000e+01,-3.861521e-05,2.205008e+00
1.130000000038392e-09,1.786711e-01,1.455160e+01,1.050000e+01,-1.947717e-04,2.205011e+00
1.160000000243779e-09,1.786636e-01,1.455025e+01,6.000000e+00,-6.365852e-04,2.205017e+00
1.200000000192367e-09,1.786480e-01,1.454766e+01,0.000000e+00,-1.483806e-03,2.205024e+00
1.204000000176383e-09,1.786459e-01,1.454735e+01,0.000000e+00,-1.586209e-03,2.205025e+00
1.212000000144417e-09,1.786412e-01,1.454667e+01,0.000000e+00,-1.805521e-03,2.205026e+00
1.228000000080484e-09,1.786314e-01,1.454537e+01,0.000000e+00,-2.226559e-03,2.205028e+00
1.260000000061039e-09,1.786118e-01,1.454295e+01,0.000000e+00,-3.001286e-03,2.205030e+00
1.324000000022148e-09,1.785750e-01,1.453868e+01,0.000000e+00,-4.343877e-03,2.205034e+00
1.424000000056248e-09,1.785259e-01,1.453303e+01,0.000000e+00,-6.061579e-03,2.205039e+00
1.524000000090349e-09,1.784875e-01,1.452841e+01,0.000000e+00,-7.403825e-03,2.205045e+00
1.624000000124450e-09,1.784592e-01,1.452466e+01,0.000000e+00,-8.427090e-03,2.205051e+00
1.724000000158550e-09,1.784385e-01,1.452154e+01,0.000000e+00,-9.213481e-03,2.205057e+00
1.824000000192651e-09,1.784236e-01,1.451891e+01,0.000000e+00,-9.822403e-03,2.205064e+00
1.924000000226751e-09,1.784130e-01,1.451664e+01,0.000000e+00,-1.029715e-02,2.205070e+00
2.024000000260852e-09,1.784057e-01,1.451464e+01,0.000000e+00,-1.066954e-02,2.205078e+00
2.124000000294952e-09,1.784010e-01,1.451286e+01,0.000000e+00,-1.096313e-02,2.205085e+00
2.224000000329053e-09,1.783982e-01,1.451123e+01,0.000000e+00,-1.119556e-02,2.205092e+00
2.324000000363154e-09,1.783970e-01,1.450974e+01,0.000000e+00,-1.138011e-02,2.205100e+00
2.424000000397254e-09,1.783969e-01,1.450834e+01,0.000000e+00,-1.152689e-02,2.205107e+00
2.524000000431355e-09,1.783978e-01,1.450702e+01,0.000000e+00,-1.164367e-02,2.205114e+00
2.624000000465455e-09,1.783995e-01,1.450577e+01,0.000000e+00,-1.173646e-02,2.205122e+00
2.724000000499556e-09,1.784018e-01,1.450457e+01,0.000000e+00,-1.180994e-02,2.205129e+00
2.824000000533657e-09,1.784046e-01,1.450342e+01,0.000000e+00,-1.186782e-02,2.205137e+00
2.924000000567757e-09,1.784078e-01,1.450229e+01,0.000000e+00,-1.191303e-02,2.205144e+00
3.024000000601858e-09,1.784112e-01,1.450119e+01,0.000000e+00,-1.194792e-02,2.205152e+00
3.124000000635958e-09,1.784150e-01,1.450012e+01,0.000000e+00,-1.197440e-02,2.205160e+00
3.224000000670059e-09,1.784190e-01,1.449907e+01,0.000000e+00,-1.199401e-02,2.205167e+00
3.324000000704160e-09,1.784232e-01,1.449803e+01,0.000000e+00,-1.200802e-02,2.205175e+00
3.424000000738260e-09,1.784275e-01,1.449700e+01,0.000000e+00,-1.201750e-02,2.205182e+00
3.624000000806461e-09,1.784364e-01,1.449498e+01,0.000000e+00,-1.202625e-02,2.205198e+00
3.824000000874662e-09,1.784456e-01,1.449298e+01,0.000000e+00,-1.202600e-02,2.205213e+00
4.024000000942864e-09,1.784549e-01,1.449100e+01,0.000000e+00,-1.202148e-02,2.205228e+00
4.224000001011065e-09,1.784642e-01,1.448901e+01,0.000000e+00,-1.201763e-02,2.205243e+00
4.324000001045165e-09,1.784689e-01,1.448802e+01,0.000000e+00,-1.201777e-02,2.205251e+00
4.424000001079266e-09,1.784734e-01,1.448701e+01,0.000000e+00,-1.202043e-02,2.205258e+00
4.524000001113367e-09,1.784779e-01,1.448599e+01,0.000000e+00,-1.202719e-02,2.205266e+00
4.624000001147467e-09,1.784822e-01,1.448495e+01,0.000000e+00,-1.204073e-02,2.205274e+00
4.724000001181568e-09,1.784862e-01,1.448388e+01,0.000000e+00,-1.206507e-02,2.205281e+00
4.824000001215668e-09,1.784899e-01,1.448275e+01,0.000000e+00,-1.210564e-02,2.205289e+00
4.924000001249769e-09,1.784930e-01,1.448155e+01,0.000000e+00,-1.216886e-02,2.205297e+00
5.024000001283870e-09,1.784953e-01,1.448026e+01,0.000000e+00,-1.226147e-02,2.205304e+00
5.124000001317970e-09,1.784968e-01,1.447885e+01,0.000000e+00,-1.238955e-02,2.205312e+00
5.224000001352071e-09,1.784973e-01,1.447730e+01,0.000000e+00,-1.255772e-02,2.205320e+00
5.324000001386171e-09,1.784966e-01,1.447561e+01,0.000000e+00,-1.276876e-02,2.205328e+00
5.424000001420272e-09,1.784948e-01,1.447377e+01,0.000000e+00,-1.302363e-02,2.205336e+00
5.524000001454372e-09,1.784918e-01,1.447177e+01,0.000000e+00,-1.332176e-02,2.205343e+00
5.624000001488473e-09,1.784878e-01,1.446963e+01,0.000000e+00,-1.366153e-02,2.205351e+00
5.724000001522574e-09,1.784828e-01,1.446733e+01,0.000000e+00,-1.404063e-02,2.205359e+00
