time	V(N001,Vo)	I(D1)	I(L1)
0.000000000000000e+00	0.000000e+00	-2.775558e-13	9.008692e-09
8.708656611161032e-10	0.000000e+00	-2.273737e-13	9.008692e-09
8.966420655510865e-10	3.818759e+00	-5.126672e+01	5.858451e-08
9.012399955292259e-10	5.647508e+00	-6.395989e+01	1.407543e-07
9.054249157943272e-10	8.864392e+00	-2.620103e+01	2.901295e-07
9.071021020634933e-10	8.940060e+00	-7.185479e+00	3.574170e-07
9.091207896158425e-10	8.978525e+00	-2.719861e+00	4.397662e-07
9.109409729110632e-10	8.991417e+00	-1.155608e+00	5.141478e-07
9.145813395015045e-10	8.999353e+00	-2.889832e-01	6.630278e-07
9.200900073228140e-10	9.000085e+00	-1.712126e-02	8.883686e-07
9.299919731279441e-10	8.999965e+00	1.371598e-03	1.293448e-06
9.472896436675904e-10	9.000020e+00	-1.528313e-04	2.001080e-06
9.654046589207074e-10	8.999987e+00	2.084444e-04	2.742149e-06
1.000000000000000e-09	9.000009e+00	1.004492e-03	4.157412e-06
1.003459534107929e-09	9.000003e+00	5.099456e-04	4.298938e-06
1.010378602323788e-09	8.999998e+00	8.905504e-05	4.581991e-06
1.024216738755505e-09	8.999999e+00	-1.232129e-05	5.148097e-06
1.051893011618939e-09	8.999998e+00	3.340881e-06	6.280307e-06
1.107245557345807e-09	8.999998e+00	-1.453957e-06	8.544727e-06
1.217950648799544e-09	8.999997e+00	4.470267e-07	1.307357e-05
1.439360831707017e-09	8.999995e+00	-4.014834e-07	2.213124e-05
1.882181197521963e-09	8.999990e+00	-4.135169e-10	4.024654e-05
2.767821929151854e-09	8.999982e+00	-1.954168e-07	7.647704e-05
4.539103392411637e-09	8.999965e+00	-9.926680e-08	1.489376e-04
8.081666318931203e-09	8.999931e+00	-1.470083e-07	2.938567e-04
1.516679217197034e-08	8.999863e+00	-1.232211e-07	5.836871e-04
2.933704387804860e-08	8.999726e+00	-1.350948e-07	1.163317e-03
5.767754729020513e-08	8.999452e+00	-1.291655e-07	2.322453e-03
1.143585541145182e-07	8.998903e+00	-1.321341e-07	4.640227e-03
2.277205677631443e-07	8.997789e+00	-1.306604e-07	9.273784e-03
4.544445950603965e-07	8.995520e+00	-1.314177e-07	1.853289e-02
9.078926496549010e-07	8.990792e+00	-1.310800e-07	3.701875e-02
1.814788758843910e-06	8.980682e+00	-1.313177e-07	7.387249e-02
3.279632508843910e-06	8.962864e+00	-1.313820e-07	1.331268e-01
4.744476258843910e-06	8.943229e+00	-1.314966e-07	1.920359e-01
6.209320008843910e-06	8.921908e+00	-1.317417e-07	2.506169e-01
7.125105317687817e-06	8.907537e+00	-1.316916e-07	2.870301e-01
7.489768464624370e-06	8.901571e+00	-1.049249e-07	3.014793e-01
7.493895906126896e-06	8.901503e+00	-1.181625e-07	3.016427e-01
7.502150789131949e-06	8.901366e+00	-1.384876e-07	3.019693e-01
