time,IL1
0.000000000000000e+00,6.997753e-11
1.000000000000000e-09,6.997753e-11
1.000831528227932e-09,6.997752e-11
1.002494584683796e-09,6.997751e-11
1.005820697595523e-09,6.997743e-11
1.012472923418978e-09,6.997655e-11
1.025777375065888e-09,6.996647e-11
1.052215341646734e-09,6.983589e-11
1.105091274808427e-09,6.870395e-11
1.172288022813767e-09,6.409204e-11
1.243602259603362e-09,5.242293e-11
1.301933397213968e-09,3.419455e-11
1.348462183491914e-09,1.033206e-11
1.393294365430059e-09,-2.421208e-11
1.445361761881262e-09,-8.202679e-11
1.502524062233702e-09,-1.748572e-10
1.579059466208495e-09,-3.593118e-10
1.666018617525045e-09,-6.779809e-10
1.774106346681638e-09,-1.272639e-09
1.877253351910527e-09,-2.118817e-09
2.000000000000000e-09,-3.430492e-09
2.036823994426842e-09,-3.979584e-09
2.085922653662631e-09,-4.825588e-09
2.184119972134210e-09,-6.976854e-09
2.380514609077366e-09,-1.301991e-08
2.657859745057703e-09,-2.570492e-08
3.020472792514186e-09,-5.045656e-08
3.464274167124549e-09,-9.364869e-08
3.918165986582509e-09,-1.540520e-07
4.411879963167029e-09,-2.403489e-07
4.854837943165677e-09,-3.409374e-07
5.372148713814884e-09,-5.014039e-07
6.227397160556954e-09,-8.791351e-07
7.225739375112140e-09,-1.538408e-06
8.544324273799211e-09,-2.854293e-06
1.022490447772524e-08,-5.215429e-06
1.191355030983102e-08,-8.239025e-06
1.360180276571995e-08,-1.173796e-05
1.522906448786616e-08,-1.538231e-05
1.667980152064266e-08,-1.877623e-05
1.787526229317805e-08,-2.164733e-05
1.863090470006475e-08,-2.349313e-05
1.938481901341543e-08,-2.535658e-05
2.015755055643947e-08,-2.728407e-05
2.102022914437979e-08,-2.945341e-05
2.174579437737711e-08,-3.129135e-05
2.253252350884487e-08,-3.329767e-05
2.337147587196997e-08,-3.544987e-05
2.416982108300116e-08,-3.750989e-05
2.519783357070473e-08,-4.018002e-05
2.697085672111417e-08,-4.482545e-05
3.051690302193304e-08,-5.421275e-05
3.460385790748083e-08,-6.513191e-05
3.651721260838425e-08,-7.027759e-05
3.773749779610521e-08,-7.356529e-05
3.876892140200251e-08,-7.632962e-05
3.977174012329473e-08,-7.896851e-05
4.101528143953096e-08,-8.211705e-05
4.182768374551470e-08,-8.403699e-05
4.218314284255728e-08,-8.478572e-05
4.236334642787685e-08,-8.509836e-05
4.260946211859541e-08,-8.543699e-05
4.271599854370136e-08,-8.554902e-05
4.286776540588310e-08,-8.566587e-05
4.300832383009724e-08,-8.574564e-05
4.316225112334839e-08,-8.580125e-05
4.335313781393359e-08,-8.583275e-05
4.355456107542419e-08,-8.582775e-05
4.374409329047915e-08,-8.578110e-05
4.412315772058906e-08,-8.559825e-05
4.446921970185287e-08,-8.532434e-05
4.516134366438049e-08,-8.450661e-05
4.589407752615091e-08,-8.323654e-05
4.735954524969174e-08,-7.957223e-05
4.910484070663334e-08,-7.311971e-05
5.259543162051655e-08,-5.357744e-05
5.801168512640460e-08,-9.224470e-06
6.450216103481970e-08,6.400423e-05
7.067263612933147e-08,1.535119e-04
7.699995463665015e-08,2.638930e-04
8.306596967031814e-08,3.855195e-04
9.106400313931627e-08,5.662488e-04
1.028644024474567e-07,8.657077e-04
1.199859153402453e-07,1.354914e-03
1.387499646326657e-07,1.960733e-03
1.598470947566753e-07,2.714541e-03
1.681034551691957e-07,3.031625e-03
1.715640851236709e-07,3.170314e-03
1.727842089023577e-07,3.219841e-03
1.736960985902299e-07,3.256966e-03
1.748740989647061e-07,3.304963e-03
1.762061495295799e-07,3.359268e-03
1.780860926171248e-07,3.435948e-03
1.797956601592460e-07,3.505707e-03
1.820977451377984e-07,3.599675e-03
1.845089984267774e-07,3.698125e-03
1.875335050780138e-07,3.821642e-03
1.908314598108148e-07,3.956352e-03
1.957334600045861e-07,4.156614e-03
2.005465790385321e-07,4.353271e-03
2.095478747544258e-07,4.721093e-03
2.189835591362094e-07,5.106699e-03
2.373613386368496e-07,5.857781e-03
2.596846420208274e-07,6.770116e-03
2.960412261175341e-07,8.255919e-03
3.282844885652076e-07,9.573504e-03
3.645961624398152e-07,1.105716e-02
4.039200871244748e-07,1.266363e-02
4.643720627364947e-07,1.513274e-02
5.262299206849021e-07,1.765859e-02
6.168329284198198e-07,2.135692e-02
7.170152362729760e-07,2.544443e-02
8.703120357870453e-07,3.169538e-02
1.045560420447519e-06,3.883545e-02
1.356200612710670e-06,5.147646e-02
1.768579029120876e-06,6.822406e-02
2.593335861941287e-06,1.015929e-01
4.242849527582110e-06,1.679143e-01
6.502972668718353e-06,2.582549e-01
6.503972668718354e-06,2.582947e-01
6.505972668718355e-06,2.583740e-01
6.509972668718357e-06,2.585326e-01
6.517295561750172e-06,2.588230e-01
6.531941347813802e-06,2.594038e-01
6.561232919941063e-06,2.605652e-01
6.619816064195583e-06,2.628873e-01
6.736982352704624e-06,2.675288e-01
6.971314929722707e-06,2.768010e-01
7.439980083758872e-06,2.953022e-01
8.377310391831201e-06,3.322235e-01
8.378310391831202e-06,3.322628e-01
8.380310391831203e-06,3.323414e-01
8.384310391831205e-06,3.324984e-01
8.392310391831209e-06,3.328125e-01
8.408310391831217e-06,3.334407e-01
8.440310391831233e-06,3.346968e-01
8.504310391831265e-06,3.372082e-01
8.632310391831329e-06,3.422276e-01
8.888310391831456e-06,3.522548e-01
9.289999999999743e-06,3.679715e-01
9.290999999999744e-06,3.680106e-01
9.292999999999745e-06,3.680887e-01
9.296999999999747e-06,3.682450e-01
9.304999999999751e-06,3.685575e-01
9.320999999999759e-06,3.691825e-01
9.352999999999775e-06,3.704323e-01
9.416999999999807e-06,3.729311e-01
9.544999999999870e-06,3.779270e-01
9.545999999999871e-06,3.779660e-01
9.547999999999872e-06,3.780441e-01
9.551999999999874e-06,3.782001e-01
9.559999999999878e-06,3.785122e-01
9.575999999999886e-06,3.791363e-01
9.607999999999902e-06,3.803844e-01
9.671999999999934e-06,3.828800e-01
9.673999999999935e-06,3.829580e-01
9.677999999999937e-06,3.831139e-01
9.685999999999941e-06,3.834258e-01
9.701999999999949e-06,3.840495e-01
9.733999999999965e-06,3.852967e-01
9.745999999999971e-06,3.857644e-01
9.769999999999983e-06,3.866996e-01
9.785999999999991e-06,3.873230e-01
9.786999999999991e-06,3.873619e-01
9.788999999999992e-06,3.874399e-01
9.792999999999994e-06,3.875957e-01
9.793999999999995e-06,3.876347e-01
9.795999999999996e-06,3.877126e-01
9.797999999999997e-06,3.877905e-01
9.798999999999997e-06,3.878295e-01
9.799999999999998e-06,3.878684e-01
9.800999999999998e-06,3.879074e-01
9.801999999999999e-06,3.879463e-01
9.802099999999999e-06,3.879502e-01
9.802299999999999e-06,3.879580e-01
9.802599999999998e-06,3.879697e-01
9.802999999999999e-06,3.879853e-01
9.803039999999999e-06,3.879869e-01
9.803119999999999e-06,3.879900e-01
9.803280000000000e-06,3.879962e-01
9.803600000000000e-06,3.880087e-01
9.804087675517579e-06,3.880277e-01
9.804790791114542e-06,3.880551e-01
9.805710622068600e-06,3.880909e-01
9.806020179132901e-06,3.881029e-01
9.806206216694553e-06,3.881102e-01
9.806416861776838e-06,3.881184e-01
9.806575435949827e-06,3.881246e-01
9.806732570057923e-06,3.881307e-01
9.806942588564151e-06,3.881389e-01
9.807163187429891e-06,3.881475e-01
9.807513607114234e-06,3.881612e-01
9.807845594321021e-06,3.881741e-01
9.808438209782441e-06,3.881972e-01
9.809085919587168e-06,3.882224e-01
9.810304596549730e-06,3.882699e-01
9.811351647660807e-06,3.883107e-01
9.812235909122930e-06,3.883451e-01
9.813315666634344e-06,3.883872e-01
9.814307392385557e-06,3.884258e-01
9.815292118912169e-06,3.884642e-01
9.817056857644409e-06,3.885329e-01
9.820087303251401e-06,3.886510e-01
9.824049722577229e-06,3.888054e-01
9.828284878817167e-06,3.889703e-01
9.833849714401130e-06,3.891871e-01
9.839463475412558e-06,3.894057e-01
9.846815925896585e-06,3.896920e-01
9.854536650868904e-06,3.899926e-01
9.864315478244161e-06,3.903731e-01
9.873361379373214e-06,3.907249e-01
9.883967212792220e-06,3.911370e-01
9.894878955990863e-06,3.915605e-01
9.904751791940056e-06,3.919429e-01
9.915720925638449e-06,3.923664e-01
9.923261282439787e-06,3.926561e-01
9.929123323363063e-06,3.928796e-01
9.934396846945147e-06,3.930779e-01
9.940073064485856e-06,3.932879e-01
9.942888218945794e-06,3.933902e-01
9.946279829129592e-06,3.935115e-01
9.948668563689214e-06,3.935958e-01
9.951111063904528e-06,3.936808e-01
9.955996064335154e-06,3.938479e-01
9.960767975612822e-06,3.940074e-01
9.968380995854987e-06,3.942544e-01
9.975967967498783e-06,3.944917e-01
9.985699584329438e-06,3.947826e-01
9.996242139513685e-06,3.950804e-01
1.001058695458389e-05,3.954566e-01
1.002714126472505e-05,3.958440e-01
1.005217097916567e-05,3.963425e-01
1.006873672414280e-05,3.965941e-01
1.008592503063318e-05,3.967553e-01
1.009927951171701e-05,3.968100e-01
1.010510748615316e-05,3.968089e-01
1.010772073570582e-05,3.968017e-01
1.010900660283779e-05,3.967966e-01
1.011027327000201e-05,3.967912e-01
1.011155046476672e-05,3.967855e-01
1.011286597356101e-05,3.967794e-01
1.011493110573419e-05,3.967696e-01
1.011701828487017e-05,3.967595e-01
1.012019942871138e-05,3.967439e-01
1.012424774253115e-05,3.967236e-01
1.012991209520355e-05,3.966948e-01
1.013608529191877e-05,3.966631e-01
1.014479269983553e-05,3.966179e-01
1.015444946851916e-05,3.965674e-01
1.016757907325849e-05,3.964982e-01
1.017973148458133e-05,3.964339e-01
1.019422617762804e-05,3.963568e-01
1.020925834052387e-05,3.962767e-01
1.022594879512565e-05,3.961875e-01
1.024354091320577e-05,3.960933e-01
1.026404683435520e-05,3.959834e-01
1.028655114140024e-05,3.958626e-01
1.030899327704277e-05,3.957422e-01
1.033558045742167e-05,3.955994e-01
1.037336508296178e-05,3.953964e-01
1.043167267493422e-05,3.950830e-01
1.049430737424204e-05,3.947462e-01
1.061042071011086e-05,3.941217e-01
1.073804192996469e-05,3.934349e-01
1.093138416848825e-05,3.923939e-01
1.118457814567114e-05,3.910293e-01
1.162121316163404e-05,3.886723e-01
1.246387959611728e-05,3.841115e-01
1.400992775785963e-05,3.757032e-01
1.710202408134432e-05,3.588142e-01
1.710302408134432e-05,3.588087e-01
1.710502408134432e-05,3.587977e-01
1.710902408134431e-05,3.587757e-01
1.711389274824207e-05,3.587490e-01
1.712363008203757e-05,3.586955e-01
1.714310474962858e-05,3.585885e-01
1.717706820648942e-05,3.584019e-01
1.724499512021110e-05,3.580286e-01
1.738084894765445e-05,3.572817e-01
1.765255660254116e-05,3.557869e-01
1.819597191231457e-05,3.527942e-01
1.891416938045317e-05,3.488349e-01
1.891516938045317e-05,3.488294e-01
1.891716938045317e-05,3.488184e-01
1.892116938045317e-05,3.487963e-01
1.892576373252393e-05,3.487709e-01
1.893495243666545e-05,3.487202e-01
1.895332984494850e-05,3.486187e-01
1.898760203753689e-05,3.484296e-01
1.905614642271368e-05,3.480511e-01
1.919323519306725e-05,3.472939e-01
1.946741273377438e-05,3.457791e-01
1.946841273377438e-05,3.457736e-01
1.947041273377437e-05,3.457625e-01
1.947441273377437e-05,3.457404e-01
1.947916607105472e-05,3.457142e-01
1.948867274561542e-05,3.456616e-01
1.950768609473681e-05,3.455565e-01
1.954571279297960e-05,3.453463e-01
1.962176618946518e-05,3.449258e-01
1.977387298243634e-05,3.440846e-01
1.977487298243634e-05,3.440791e-01
1.977687298243633e-05,3.440680e-01
1.978087298243633e-05,3.440459e-01
1.978577061280366e-05,3.440188e-01
1.979556587353832e-05,3.439646e-01
1.981515639500765e-05,3.438563e-01
1.985433743794631e-05,3.436395e-01
1.992263791412269e-05,3.432616e-01
1.992363791412269e-05,3.432561e-01
1.992563791412269e-05,3.432450e-01
1.992963791412268e-05,3.432229e-01
1.993466720212612e-05,3.431951e-01
1.994472577813299e-05,3.431394e-01
1.996484293014673e-05,3.430281e-01
1.996584293014673e-05,3.430226e-01
1.996784293014672e-05,3.430115e-01
1.997184293014672e-05,3.429894e-01
1.997698990106017e-05,3.429609e-01
1.998728384288706e-05,3.429039e-01
1.998828384288706e-05,3.428984e-01
1.999028384288706e-05,3.428873e-01
1.999428384288705e-05,3.428652e-01
1.999574850947750e-05,3.428571e-01
1.999807066681910e-05,3.428442e-01
1.999907066681910e-05,3.428387e-01
2.000007066681910e-05,3.428332e-01
2.000100000000000e-05,3.428280e-01
2.000100204511050e-05,3.428280e-01
2.000100613533149e-05,3.428280e-01
2.000101431577348e-05,3.428279e-01
2.000102608153615e-05,3.428279e-01
2.000104961306149e-05,3.428277e-01
2.000109039152935e-05,3.428275e-01
2.000117194846508e-05,3.428271e-01
2.000128845274759e-05,3.428264e-01
2.000144510112781e-05,3.428255e-01
2.000163762658586e-05,3.428245e-01
2.000176103006022e-05,3.428238e-01
2.000200000000000e-05,3.428225e-01
2.000202389699398e-05,3.428223e-01
2.000207169098193e-05,3.428221e-01
2.000216727895784e-05,3.428215e-01
