time	V(N001,Vo)
0.000000000000000e+00	0.000000e+00
1.000000000000000e-09	0.000000e+00
1.000831528227932e-09	0.000000e+00
1.002494584683796e-09	0.000000e+00
1.005820697595523e-09	0.000000e+00
1.012472923418978e-09	0.000000e+00
1.025777375065888e-09	0.000000e+00
1.052215341646734e-09	-9.536743e-07
1.105091274808427e-09	-6.675720e-06
1.172288022813767e-09	-2.193451e-05
1.243602259603362e-09	-5.245209e-05
1.301933397213968e-09	-9.250641e-05
1.348462183491914e-09	-1.373291e-04
1.393294365430059e-09	-1.955032e-04
1.445361761881262e-09	-2.803802e-04
1.502524062233702e-09	-4.024506e-04
1.579059466208495e-09	-6.132126e-04
1.666018617525045e-09	-9.317398e-04
1.774106346681638e-09	-1.449585e-03
1.877253351910527e-09	-2.092361e-03
2.000000000000000e-09	-3.006935e-03
2.036823994426842e-09	-3.348351e-03
2.085922653662631e-09	-3.839493e-03
2.184119972134210e-09	-4.936218e-03
2.380514609077366e-09	-7.441521e-03
2.657859745057703e-09	-1.145077e-02
3.020472792514186e-09	-1.722622e-02
3.464274167124549e-09	-2.480030e-02
3.918165986582509e-09	-3.323841e-02
4.411879963167029e-09	-4.382801e-02
4.854837943165677e-09	-5.552864e-02
5.372148713814884e-09	-7.322216e-02
6.227397160556954e-09	-1.109266e-01
7.225739375112140e-09	-1.661711e-01
8.544324273799211e-09	-2.508392e-01
1.022490447772524e-08	-3.548565e-01
1.191355030983102e-08	-4.326782e-01
1.360180276571995e-08	-4.798183e-01
1.522906448786616e-08	-5.073824e-01
1.667980152064266e-08	-5.244427e-01
1.787526229317805e-08	-5.354042e-01
1.863090470006475e-08	-5.412188e-01
1.938481901341543e-08	-5.462933e-01
2.015755055643947e-08	-5.509462e-01
2.102022914437979e-08	-5.556259e-01
2.174579437737711e-08	-5.591860e-01
2.253252350884487e-08	-5.626822e-01
2.337147587196997e-08	-5.660763e-01
2.416982108300116e-08	-5.690022e-01
2.519783357070473e-08	-5.723515e-01
2.697085672111417e-08	-5.772219e-01
3.051690302193304e-08	-5.849438e-01
3.460385790748083e-08	-5.916891e-01
3.651721260838425e-08	-5.933409e-01
3.773749779610521e-08	-5.920944e-01
3.876892140200251e-08	-5.869303e-01
3.977174012329473e-08	-5.732937e-01
4.101528143953096e-08	-5.337877e-01
4.182768374551470e-08	-4.723015e-01
4.218314284255728e-08	-4.082718e-01
4.236334642787685e-08	-3.475952e-01
4.260946211859541e-08	-2.421627e-01
4.271599854370136e-08	-1.993484e-01
4.286776540588310e-08	-1.467171e-01
4.300832383009724e-08	-1.037779e-01
4.316225112334839e-08	-6.241035e-02
4.335313781393359e-08	-1.663780e-02
4.355456107542419e-08	2.703667e-02
4.374409329047915e-08	6.430149e-02
4.412315772058906e-08	1.326666e-01
4.446921970185287e-08	1.904125e-01
4.516134366438049e-08	2.983093e-01
4.589407752615091e-08	4.074612e-01
4.735954524969174e-08	6.189499e-01
4.910484070663334e-08	8.655186e-01
5.259543162051655e-08	1.345370e+00
5.801168512640460e-08	2.058424e+00
6.450216103481970e-08	2.855721e+00
7.067263612933147e-08	3.537471e+00
7.699995463665015e-08	4.141840e+00
8.306596967031814e-08	4.623446e+00
9.106400313931627e-08	5.140364e+00
1.028644024474567e-07	5.781499e+00
1.199859153402453e-07	6.618694e+00
1.387499646326657e-07	7.496511e+00
1.598470947566753e-07	8.468295e+00
1.681034551691957e-07	8.825022e+00
1.715640851236709e-07	8.936228e+00
1.727842089023577e-07	8.955943e+00
1.736960985902299e-07	8.962452e+00
1.748740989647061e-07	8.968264e+00
1.762061495295799e-07	8.972970e+00
1.780860926171248e-07	8.977678e+00
1.797956601592460e-07	8.980728e+00
1.820977451377984e-07	8.983634e+00
1.845089984267774e-07	8.985835e+00
1.875335050780138e-07	8.987813e+00
1.908314598108148e-07	8.989352e+00
