time	I(D1)
0.000000000000000e+00	4.625929e-14
1.000000000000000e-09	0.000000e+00
1.000831528227932e-09	5.314067e-09
1.002494584683796e-09	2.070861e-08
1.005820697595524e-09	7.549151e-08
1.012472923418979e-09	2.841287e-07
1.025777375065891e-09	1.090541e-06
1.052215341647176e-09	4.188915e-06
1.105091274809747e-09	1.507627e-05
1.172288022811896e-09	3.692188e-05
1.243602259402549e-09	6.986320e-05
1.301936282829361e-09	1.046886e-04
1.348464787859614e-09	1.382716e-04
1.393296427525999e-09	1.758058e-04
1.445363822098185e-09	2.254149e-04
1.502524766413834e-09	2.874540e-04
1.579060173979179e-09	3.823447e-04
1.666018421300303e-09	5.057653e-04
1.774106372302692e-09	6.800331e-04
1.877254013515543e-09	8.665265e-04
2.000000000000000e-09	1.106073e-03
2.036823795945337e-09	1.179916e-03
2.085922190539120e-09	1.271374e-03
2.184118979726686e-09	1.430453e-03
2.380512558101817e-09	1.678828e-03
2.657857341495986e-09	1.915858e-03
3.020469597788452e-09	2.094446e-03
3.464270327331266e-09	2.244149e-03
3.918162530545150e-09	2.496325e-03
4.411877060424640e-09	3.032109e-03
4.854834967236934e-09	3.751936e-03
5.372145676366262e-09	4.752141e-03
6.227385602091767e-09	6.454960e-03
7.225730270765639e-09	8.388974e-03
8.544307073382161e-09	1.139248e-02
9.991250425680186e-09	1.691900e-02
1.136080945889301e-08	2.379796e-02
1.274395252818663e-08	2.933967e-02
1.447466882001208e-08	3.336162e-02
1.594385614545752e-08	3.535749e-02
1.728571915016738e-08	3.652496e-02
1.821040673862674e-08	3.701308e-02
1.889180134247708e-08	3.716188e-02
1.967003827722141e-08	3.716516e-02
2.062989405143248e-08	3.706453e-02
2.140090791520449e-08	3.690916e-02
2.210484172387403e-08	3.667695e-02
2.298211779136156e-08	3.628324e-02
2.389870932884774e-08	3.580002e-02
2.490980664542617e-08	3.524386e-02
2.609798679657173e-08	3.457659e-02
2.847434709886286e-08	3.326027e-02
3.232276181181935e-08	3.092660e-02
3.549447673770437e-08	2.486100e-02
3.720788618613016e-08	8.403483e-03
3.827675981206517e-08	-2.332775e-02
3.926269095751109e-08	-7.987148e-02
4.035671522094662e-08	-1.633492e-01
4.164940995524640e-08	-2.416665e-01
4.209245189323204e-08	-2.097901e-01
4.233110375350987e-08	-1.421105e-01
4.250124460686690e-08	-8.851654e-02
4.264199451831097e-08	-6.316985e-02
4.276601362165148e-08	-5.141073e-02
4.290589601663552e-08	-4.295737e-02
4.307672671906332e-08	-3.620772e-02
4.326202007152604e-08	-3.107105e-02
4.344850951597903e-08	-2.748035e-02
4.362893999397656e-08	-2.499318e-02
4.394636253057704e-08	-2.209432e-02
4.425025611102271e-08	-2.022924e-02
4.485804327191405e-08	-1.808530e-02
4.548335898135709e-08	-1.678568e-02
4.673399040024315e-08	-1.538472e-02
4.814376483428925e-08	-1.433311e-02
5.096331370238147e-08	-1.283123e-02
5.527833129495652e-08	-1.104925e-02
6.103887219749007e-08	-9.204915e-03
6.801729439563940e-08	-7.358506e-03
7.455982433995745e-08	-5.843121e-03
8.104610327118707e-08	-4.586922e-03
8.826545836422563e-08	-3.620127e-03
9.826661997532977e-08	-2.916656e-03
1.133132707326019e-07	-2.478171e-03
1.314968562144039e-07	-2.256126e-03
1.541489318829732e-07	-2.091466e-03
1.661763000756570e-07	-1.677930e-03
