time	I(L1)
0.000000000000000e+00	6.998299e-11
1.000000000000000e-09	6.998299e-11
1.000831528227932e-09	6.998299e-11
1.002494584683796e-09	6.998298e-11
1.005820697595524e-09	6.998289e-11
1.012472923418979e-09	6.998201e-11
1.025777375065891e-09	6.997193e-11
1.052215341647176e-09	6.984135e-11
1.105091274809747e-09	6.870942e-11
1.172288022811896e-09	6.409750e-11
1.243602259402549e-09	5.242823e-11
1.301936282829361e-09	3.419864e-11
1.348464787859614e-09	1.033587e-11
1.393296427525999e-09	-2.420847e-11
1.445363822098185e-09	-8.202387e-11
1.502524766413834e-09	-1.748528e-10
1.579060173979179e-09	-3.593080e-10
1.666018421300303e-09	-6.779743e-10
1.774106372302692e-09	-1.272634e-09
1.877254013515543e-09	-2.118818e-09
2.000000000000000e-09	-3.430486e-09
2.036823795945337e-09	-3.979575e-09
2.085922190539120e-09	-4.825574e-09
2.184118979726686e-09	-6.976823e-09
2.380512558101817e-09	-1.301983e-08
2.657857341495986e-09	-2.570478e-08
3.020469597788452e-09	-5.045630e-08
3.464270327331266e-09	-9.364825e-08
3.918162530545150e-09	-1.540515e-07
4.411877060424640e-09	-2.403483e-07
4.854834967236934e-09	-3.409366e-07
5.372145676366262e-09	-5.014027e-07
6.227385602091767e-09	-8.791289e-07
7.225730270765639e-09	-1.538401e-06
8.544307073382161e-09	-2.831913e-06
9.991250425680186e-09	-4.796027e-06
1.136080945889301e-08	-7.150046e-06
1.274395252818663e-08	-9.914392e-06
1.447466882001208e-08	-1.368570e-05
1.594385614545752e-08	-1.705750e-05
1.728571915016738e-08	-2.024215e-05
1.821040673862674e-08	-2.248164e-05
1.889180134247708e-08	-2.415505e-05
1.967003827722141e-08	-2.608649e-05
2.062989405143248e-08	-2.848972e-05
2.140090791520449e-08	-3.043553e-05
2.210484172387403e-08	-3.222509e-05
2.298211779136156e-08	-3.446973e-05
2.389870932884774e-08	-3.682950e-05
2.490980664542617e-08	-3.944901e-05
2.609798679657173e-08	-4.255004e-05
2.847434709886286e-08	-4.880964e-05
3.232276181181935e-08	-5.904350e-05
3.549447673770437e-08	-6.754555e-05
3.720788618613016e-08	-7.215957e-05
3.827675981206517e-08	-7.503405e-05
3.926269095751109e-08	-7.765839e-05
4.035671522094662e-08	-8.047992e-05
4.164940995524640e-08	-8.363520e-05
4.209245189323204e-08	-8.461205e-05
4.233110375350987e-08	-8.505798e-05
4.250124460686690e-08	-8.531622e-05
