time	V(N001,Vo)
0.000000000000000e+00	0.000000e+00
1.000000000000000e-09	0.000000e+00
1.000831528227932e-09	0.000000e+00
1.002494584683796e-09	0.000000e+00
1.005820697595524e-09	0.000000e+00
1.012472923418979e-09	0.000000e+00
1.025777375065891e-09	0.000000e+00
1.052215341647176e-09	-9.536743e-07
1.105091274809747e-09	-6.675720e-06
1.172288022811896e-09	-2.193451e-05
1.243602259402549e-09	-5.245209e-05
1.301936282829361e-09	-9.250641e-05
1.348464787859614e-09	-1.373291e-04
1.393296427525999e-09	-1.955032e-04
1.445363822098185e-09	-2.803802e-04
1.502524766413834e-09	-4.024506e-04
1.579060173979179e-09	-6.132126e-04
1.666018421300303e-09	-9.317398e-04
1.774106372302692e-09	-1.449585e-03
1.877254013515543e-09	-2.092361e-03
2.000000000000000e-09	-3.006935e-03
2.036823795945337e-09	-3.348351e-03
2.085922190539120e-09	-3.839493e-03
2.184118979726686e-09	-4.936218e-03
2.380512558101817e-09	-7.441521e-03
2.657857341495986e-09	-1.145077e-02
3.020469597788452e-09	-1.722622e-02
3.464270327331266e-09	-2.480030e-02
3.918162530545150e-09	-3.323841e-02
4.411877060424640e-09	-4.382801e-02
4.854834967236934e-09	-5.552864e-02
5.372145676366262e-09	-7.322216e-02
6.227385602091767e-09	-1.109266e-01
7.225730270765639e-09	-1.661711e-01
8.544307073382161e-09	-2.511759e-01
9.991250425680186e-09	-3.439789e-01
1.136080945889301e-08	-4.142685e-01
1.274395252818663e-08	-4.604549e-01
1.447466882001208e-08	-4.961195e-01
1.594385614545752e-08	-5.165453e-01
1.728571915016738e-08	-5.303459e-01
1.821040673862674e-08	-5.381346e-01
1.889180134247708e-08	-5.430746e-01
1.967003827722141e-08	-5.480642e-01
2.062989405143248e-08	-5.535736e-01
2.140090791520449e-08	-5.575590e-01
2.210484172387403e-08	-5.608377e-01
2.298211779136156e-08	-5.645399e-01
2.389870932884774e-08	-5.680342e-01
2.490980664542617e-08	-5.714855e-01
2.609798679657173e-08	-5.750151e-01
2.847434709886286e-08	-5.808334e-01
3.232276181181935e-08	-5.882711e-01
3.549447673770437e-08	-5.925894e-01
3.720788618613016e-08	-5.929098e-01
3.827675981206517e-08	-5.900583e-01
3.926269095751109e-08	-5.817165e-01
4.035671522094662e-08	-5.571194e-01
4.164940995524640e-08	-4.903069e-01
4.209245189323204e-08	-4.292622e-01
4.233110375350987e-08	-3.597031e-01
4.250124460686690e-08	-2.895384e-01
4.264199451831097e-08	-2.292500e-01
4.276601362165148e-08	-1.817341e-01
4.290589601663552e-08	-1.351089e-01
4.307672671906332e-08	-8.539200e-02
4.326202007152604e-08	-3.793907e-02
4.344850951597903e-08	4.718781e-03
4.362893999397656e-08	4.195023e-02
4.394636253057704e-08	1.017914e-01
4.425025611102271e-08	1.544399e-01
4.485804327191405e-08	2.520256e-01
4.548335898135709e-08	3.470125e-01
4.673399040024315e-08	5.295830e-01
4.814376483428925e-08	7.306223e-01
5.096331370238147e-08	1.123394e+00
5.527833129495652e-08	1.704930e+00
6.103887219749007e-08	2.438484e+00
6.801729439563940e-08	3.251312e+00
7.455982433995745e-08	3.918470e+00
8.104610327118707e-08	4.471159e+00
8.826545836422563e-08	4.971440e+00
9.826661997532977e-08	5.543300e+00
1.133132707326019e-07	6.299717e+00
1.314968562144039e-07	7.159548e+00
1.541489318829732e-07	8.206932e+00
1.661763000756570e-07	8.738571e+00
1.712594377776749e-07	8.919371e+00
1.732225509111428e-07	8.956728e+00
1.750308863955097e-07	8.969016e+00
1.756025095359932e-07	8.971215e+00
1.766674789990892e-07	8.974442e+00
1.781943716592566e-07	8.978003e+00
1.796933074174355e-07	8.980595e+00
1.822313359264849e-07	8.983763e+00
1.847392553067101e-07	8.986009e+00
1.881783889087511e-07	8.988166e+00
1.915382825718606e-07	8.989658e+00
