time	V(vdrain)	V(vgate)	Id(M1)
0.000000000000000e+00	5.085389e+01	4.323027e-01	-8.990308e-07
9.000000000358548e-10	5.085389e+01	4.322986e-01	-8.990493e-07
1.000000000015745e-09	5.085389e+01	4.323560e-01	-7.230012e-06
1.028067439718446e-09	5.085389e+01	4.324824e-01	-2.236897e-05
1.043758085116000e-09	5.085389e+01	4.326623e-01	-4.626067e-05
1.058686537633129e-09	5.085389e+01	4.329239e-01	-8.398599e-05
1.070143095015588e-09	5.085389e+01	4.331758e-01	-1.220087e-04
1.077086885230717e-09	5.085389e+01	4.333564e-01	-1.499388e-04
1.086112419565379e-09	5.085389e+01	4.336282e-01	-1.926683e-04
1.099999999995636e-09	5.085389e+01	4.341026e-01	-2.695774e-04
1.123673997870545e-09	5.085390e+01	4.349783e-01	-4.177940e-04
1.148706144690325e-09	5.085391e+01	4.359438e-01	-5.854105e-04
1.182073514050495e-09	5.085392e+01	4.372747e-01	-8.149622e-04
1.248808252770836e-09	5.085393e+01	4.400135e-01	-1.270356e-03
1.382277730265728e-09	5.085397e+01	4.454954e-01	-2.112612e-03
1.649216685255511e-09	5.085402e+01	4.559458e-01	-3.515567e-03
1.923397431450626e-09	5.085406e+01	4.656845e-01	-4.571380e-03
2.194092586164497e-09	5.085408e+01	4.742414e-01	-5.247034e-03
2.478947450361858e-09	5.085410e+01	4.824340e-01	-5.689507e-03
2.757901506017339e-09	5.085411e+01	4.899267e-01	-5.947293e-03
3.217471477993169e-09	5.085412e+01	5.016915e-01	-6.177033e-03
3.812737543111393e-09	5.085413e+01	5.164671e-01	-6.319160e-03
4.476239744209513e-09	5.085413e+01	5.326072e-01	-6.373854e-03
5.166063936660678e-09	5.085413e+01	5.491917e-01	-6.380110e-03
6.166063936676423e-09	5.085413e+01	5.732243e-01	-6.383430e-03
7.166063936692169e-09	5.085414e+01	6.000092e-01	-6.759276e-03
8.166063936707914e-09	5.085421e+01	6.376642e-01	-8.432086e-03
9.166063936723659e-09	5.085435e+01	6.940560e-01	-1.195077e-02
9.943671252881075e-09	5.085450e+01	7.545567e-01	-1.574333e-02
1.080879623397433e-08	5.085468e+01	8.387034e-01	-2.031582e-02
1.180879623399007e-08	5.085489e+01	9.519819e-01	-2.531497e-02
1.280879623400582e-08	5.085509e+01	1.079534e+00	-2.977958e-02
