time,Vvrain,Vvgate,IM1
0.000000000000000e+00,5.085246e+01,4.322085e-01,-8.928802e-07
9.000000000358548e-10,5.085246e+01,4.322044e-01,-8.928985e-07
1.000000000015745e-09,5.085246e+01,4.322425e-01,-5.107207e-06
1.028067443133683e-09,5.085246e+01,4.323264e-01,-1.517003e-05
1.043757513795665e-09,5.085246e+01,4.324454e-01,-3.098916e-05
1.058591094556943e-09,5.085246e+01,4.326167e-01,-5.575379e-05
1.070332838418869e-09,5.085246e+01,4.327854e-01,-8.131364e-05
1.076516512271784e-09,5.085246e+01,4.328906e-01,-9.766181e-05
1.087632652289807e-09,5.085246e+01,4.331084e-01,-1.320519e-04
1.099999999995636e-09,5.085246e+01,4.333804e-01,-1.764182e-04
1.124734695407293e-09,5.085247e+01,4.339650e-01,-2.759336e-04
1.149223072553687e-09,5.085247e+01,4.345615e-01,-3.798115e-04
1.183968384649899e-09,5.085247e+01,4.354292e-01,-5.295174e-04
1.253459008842325e-09,5.085249e+01,4.372028e-01,-8.233752e-04
1.392440257227175e-09,5.085250e+01,4.407530e-01,-1.364251e-03
1.670402753996877e-09,5.085254e+01,4.475697e-01,-2.264331e-03
1.980348721759752e-09,5.085257e+01,4.545098e-01,-2.985270e-03
2.384156884123554e-09,5.085259e+01,4.625998e-01,-3.566319e-03
2.760772259077521e-09,5.085260e+01,4.694690e-01,-3.868883e-03
3.237219976348453e-09,5.085260e+01,4.776015e-01,-4.056630e-03
3.855029193382178e-09,5.085261e+01,4.877464e-01,-4.163341e-03
4.630794939348981e-09,5.085261e+01,5.001726e-01,-4.202587e-03
5.471549815875068e-09,5.085260e+01,5.134140e-01,-4.195441e-03
6.438537150914997e-09,5.085260e+01,5.284574e-01,-4.165179e-03
7.438537150930742e-09,5.085260e+01,5.438778e-01,-4.130496e-03
8.438537150946487e-09,5.085259e+01,5.592295e-01,-4.104151e-03
9.438537150962233e-09,5.085259e+01,5.751332e-01,-4.166595e-03
1.043853715097798e-08,5.085261e+01,5.943898e-01,-4.655553e-03
1.143853715099372e-08,5.085266e+01,6.221974e-01,-6.067872e-03
1.243853715100947e-08,5.085276e+01,6.627518e-01,-8.508896e-03
1.343853715102521e-08,5.085288e+01,7.166753e-01,-1.153271e-02
1.443853715104096e-08,5.085300e+01,7.823265e-01,-1.460782e-02
1.543853715105670e-08,5.085312e+01,8.578346e-01,-1.744689e-02
1.643853715107245e-08,5.085323e+01,9.418114e-01,-1.997976e-02
1.743853715108819e-08,5.085333e+01,1.033254e+00,-2.222702e-02
1.843853715110394e-08,5.085343e+01,1.131299e+00,-2.421818e-02
1.943853715111968e-08,5.085351e+01,1.235125e+00,-2.597302e-02
2.043853715113543e-08,5.085359e+01,1.343949e+00,-2.750636e-02
2.143853715115118e-08,5.085366e+01,1.457041e+00,-2.883279e-02
2.243853715116692e-08,5.085373e+01,1.573733e+00,-2.996766e-02
2.343853715118267e-08,5.085379e+01,1.693417e+00,-3.092651e-02
2.443853715119841e-08,5.085384e+01,1.815538e+00,-3.172439e-02
2.543853715121416e-08,5.085389e+01,1.939593e+00,-3.237562e-02
2.643853715122990e-08,5.085393e+01,2.065128e+00,-3.289363e-02
2.743853715124565e-08,5.085397e+01,2.191732e+00,-3.329098e-02
2.843853715126139e-08,5.085400e+01,2.319035e+00,-3.357932e-02
2.943853715127714e-08,5.085403e+01,2.446704e+00,-3.376945e-02
3.043853715129288e-08,5.085406e+01,2.574443e+00,-3.387131e-02
3.143853715130863e-08,5.085408e+01,2.701984e+00,-3.389405e-02
3.243853715132437e-08,5.085410e+01,2.829092e+00,-3.384606e-02
3.343853715134012e-08,5.085411e+01,2.955554e+00,-3.373501e-02
3.443853715135586e-08,5.085413e+01,3.081187e+00,-3.356791e-02
3.543853715137161e-08,5.085413e+01,3.205823e+00,-3.335114e-02
3.643853715138735e-08,5.085414e+01,3.329320e+00,-3.309054e-02
3.743853715140310e-08,5.085415e+01,3.451551e+00,-3.279132e-02
3.843853715141884e-08,5.085415e+01,3.572405e+00,-3.245773e-02
3.943853715143459e-08,5.085415e+01,3.691787e+00,-3.208774e-02
4.043853715145034e-08,5.085415e+01,3.809613e+00,-3.162214e-02
4.143853715146608e-08,5.085412e+01,3.925790e+00,-3.052982e-02
4.243853715148183e-08,5.085394e+01,4.040113e+00,-2.557778e-02
4.343853715149757e-08,5.085315e+01,4.152018e+00,-5.286144e-03
4.443853715151332e-08,5.085089e+01,4.260482e+00,5.220588e-02
4.543853715152906e-08,5.084629e+01,4.364507e+00,1.682347e-01
4.643853715154481e-08,5.083898e+01,4.463717e+00,3.503792e-01
4.743853715156055e-08,5.082909e+01,4.558327e+00,5.933852e-01
4.843853715157630e-08,5.081693e+01,4.648743e+00,8.878534e-01
4.943853715159204e-08,5.080275e+01,4.735346e+00,1.225051e+00
5.043853715160779e-08,5.078676e+01,4.818449e+00,1.597771e+00
5.143853715162353e-08,5.076912e+01,4.898305e+00,2.000063e+00
5.243853715163928e-08,5.074992e+01,4.975120e+00,2.426886e+00
5.343853715165502e-08,5.072923e+01,5.049051e+00,2.873828e+00
5.443853715167077e-08,5.070701e+01,5.120221e+00,3.336884e+00
5.543853715168651e-08,5.068318e+01,5.188695e+00,3.812223e+00
5.643853715170226e-08,5.065752e+01,5.254478e+00,4.295892e+00
5.743853715171800e-08,5.062955e+01,5.317454e+00,4.783269e+00
5.843853715173375e-08,5.059834e+01,5.377276e+00,5.267800e+00
5.943853715174949e-08,5.056147e+01,5.432932e+00,5.736764e+00
6.043853715176524e-08,5.050804e+01,5.479508e+00,6.139834e+00
6.143853715178099e-08,5.034809e+01,5.476265e+00,6.046620e+00
6.176255400901698e-08,4.979818e+01,5.248920e+00,3.372829e+00
6.186553384754075e-08,4.928782e+01,5.008908e+00,1.842460e+00
6.196526319330762e-08,4.882137e+01,4.774436e+00,1.393164e+00
6.199420014081809e-08,4.876462e+01,4.748693e+00,1.171385e+00
6.202072482425517e-08,4.873462e+01,4.735587e+00,1.098687e+00
6.203866254506259e-08,4.871828e+01,4.727266e+00,1.130766e+00
6.205819515160606e-08,4.870231e+01,4.720675e+00,1.056091e+00
6.207855992175189e-08,4.868823e+01,4.714251e+00,1.071974e+00
6.210402375982126e-08,4.867313e+01,4.707859e+00,1.050195e+00
6.214455045461427e-08,4.865351e+01,4.699972e+00,1.045843e+00
6.220585340398471e-08,4.863084e+01,4.691963e+00,1.033694e+00
6.232845930277979e-08,4.859797e+01,4.683039e+00,1.024936e+00
6.249612824379405e-08,4.856443e+01,4.677841e+00,1.019376e+00
6.283146612582257e-08,4.850857e+01,4.675351e+00,1.017427e+00
6.320262305458150e-08,4.844957e+01,4.675810e+00,1.016924e+00
6.380601870031302e-08,4.835348e+01,4.678076e+00,1.016972e+00
6.465862056008595e-08,4.821563e+01,4.680540e+00,1.016789e+00
6.565862056010169e-08,4.805199e+01,4.681967e+00,1.016529e+00
6.665862056011744e-08,4.788738e+01,4.682529e+00,1.016177e+00
6.765862056013318e-08,4.772247e+01,4.682890e+00,1.015825e+00
6.865862056014893e-08,4.755741e+01,4.683274e+00,1.015491e+00
6.965862056016467e-08,4.739218e+01,4.683685e+00,1.015181e+00
7.065862056018042e-08,4.722677e+01,4.684095e+00,1.014884e+00
7.165862056019616e-08,4.706118e+01,4.684493e+00,1.014604e+00
7.265862056021191e-08,4.689545e+01,4.684875e+00,1.014333e+00
7.365862056022765e-08,4.672958e+01,4.685246e+00,1.014077e+00
7.465862056024340e-08,4.656359e+01,4.685605e+00,1.013828e+00
7.565862056025914e-08,4.639750e+01,4.685956e+00,1.013592e+00
7.665862056027489e-08,4.623133e+01,4.686298e+00,1.013362e+00
7.765862056029063e-08,4.606508e+01,4.686634e+00,1.013144e+00
7.865862056030638e-08,4.589876e+01,4.686964e+00,1.012931e+00
7.965862056032212e-08,4.573239e+01,4.687288e+00,1.012728e+00
8.065862056033787e-08,4.556597e+01,4.687607e+00,1.012530e+00
8.165862056035362e-08,4.539951e+01,4.687922e+00,1.012341e+00
8.265862056036936e-08,4.523302e+01,4.688234e+00,1.012156e+00
8.365862056038511e-08,4.506651e+01,4.688542e+00,1.011979e+00
8.465862056040085e-08,4.489997e+01,4.688848e+00,1.011806e+00
8.565862056041660e-08,4.473342e+01,4.689151e+00,1.011639e+00
