time,Vv,Vvgate,IM1
0.000000000000000e+00,9.755331e+00,4.423769e-01,-7.348619e-07
9.999999960041972e-11,9.755331e+00,4.423764e-01,-7.348855e-07
2.999999996686209e-10,9.755330e+00,4.423755e-01,-7.349227e-07
6.000000002046035e-10,9.755328e+00,4.423742e-01,-7.349702e-07
1.000000000341006e-09,9.755326e+00,4.423725e-01,-7.378699e-07
1.000880003008964e-09,9.755326e+00,4.423726e-01,-7.415053e-07
1.002640009212241e-09,9.755326e+00,4.423730e-01,-7.622215e-07
1.006160021618796e-09,9.755326e+00,4.423743e-01,-8.478457e-07
1.013200046431906e-09,9.755326e+00,4.423785e-01,-1.238044e-06
1.027280095190763e-09,9.755326e+00,4.423934e-01,-3.056882e-06
1.055357323233308e-09,9.755326e+00,4.424493e-01,-1.127221e-05
1.111511780185759e-09,9.755327e+00,4.426647e-01,-4.637568e-05
1.220863958539820e-09,9.755332e+00,4.434096e-01,-1.714508e-04
1.347959132334819e-09,9.755342e+00,4.448789e-01,-4.158673e-04
1.527089853008146e-09,9.755362e+00,4.481659e-01,-9.469321e-04
1.732527827799646e-09,9.755394e+00,4.537753e-01,-1.811656e-03
2.000000000682012e-09,9.755449e+00,4.631051e-01,-3.200662e-03
2.019686144022481e-09,9.755454e+00,4.639481e-01,-3.321674e-03
2.039372287362951e-09,9.755459e+00,4.647792e-01,-3.438904e-03
2.059058430703420e-09,9.755463e+00,4.655986e-01,-3.552354e-03
2.078744574043889e-09,9.755468e+00,4.664060e-01,-3.662022e-03
2.098430717384359e-09,9.755472e+00,4.672017e-01,-3.767909e-03
2.118116860724828e-09,9.755476e+00,4.679856e-01,-3.870015e-03
2.137803004065297e-09,9.755480e+00,4.687576e-01,-3.968340e-03
2.277793356708635e-09,9.755505e+00,4.739266e-01,-4.564772e-03
2.557774061995310e-09,9.755542e+00,4.830786e-01,-5.397309e-03
2.909122021402255e-09,9.755572e+00,4.930661e-01,-6.006267e-03
3.230631522715965e-09,9.755589e+00,5.011487e-01,-6.267126e-03
3.545870055909894e-09,9.755599e+00,5.084797e-01,-6.362558e-03
4.019802286175933e-09,9.755612e+00,5.192829e-01,-6.430470e-03
4.741769921157157e-09,9.755644e+00,5.378394e-01,-6.831642e-03
5.316457663863405e-09,9.755704e+00,5.587409e-01,-8.015515e-03
5.912401191028593e-09,9.755816e+00,5.902525e-01,-1.041296e-02
6.534251212157727e-09,9.755967e+00,6.326961e-01,-1.364372e-02
7.123611477609371e-09,9.756123e+00,6.807709e-01,-1.679138e-02
8.123611477950377e-09,9.756384e+00,7.736639e-01,-2.164871e-02
9.123611478291382e-09,9.756631e+00,8.758249e-01,-2.570809e-02
1.012361147863239e-08,9.756856e+00,9.856201e-01,-2.886844e-02
1.112361147897339e-08,9.757061e+00,1.100887e+00,-3.126759e-02
1.212361147931440e-08,9.757250e+00,1.220281e+00,-3.309371e-02
1.312361147965541e-08,9.757426e+00,1.342884e+00,-3.450316e-02
1.412361147999641e-08,9.757593e+00,1.468016e+00,-3.560774e-02
1.512361148033742e-08,9.757752e+00,1.595133e+00,-3.648335e-02
1.612361148067842e-08,9.757906e+00,1.723785e+00,-3.718074e-02
1.712361148101943e-08,9.758052e+00,1.853564e+00,-3.773148e-02
1.812361148136044e-08,9.758192e+00,1.983971e+00,-3.813795e-02
1.912361148170144e-08,9.758323e+00,2.114119e+00,-3.834509e-02
1.983319555202284e-08,9.758406e+00,2.205569e+00,-3.830940e-02
2.059458182809837e-08,9.758489e+00,2.302594e+00,-3.814383e-02
2.159458182843937e-08,9.758592e+00,2.428702e+00,-3.786016e-02
2.259458182878038e-08,9.758686e+00,2.553011e+00,-3.747996e-02
2.354212143545337e-08,9.758767e+00,2.668614e+00,-3.700086e-02
2.440861676146489e-08,9.758835e+00,2.772193e+00,-3.648524e-02
